caseid,weight,REGNRACE,SEXAGEWT,ADJWT,MSUEWT,STATEWT,EADJWT,EMSUEWT,ESTATEWT,CC1,CC2,CC3,CC4,CC5,CC6,A1,PO1,PO2,vote,vote1,vote1a,vote3,vote3a,vote4,vote4a,perception_a,perception_b,perception_c,vote5,vote5a,vote5b,vote5c,bever_vote6a,bever_vote6b,bever_vote6c,bever_vote6d,bever_vote6e,bever_vote6f,bever_vote6g,D10,D11,D12,P4a,caseapproval1,requity_a,requity_b,requity_c,requity_d,requity_e,requity1,UN1,UN2,UN3,demo_county,demo_Detroit,cellular2,NEAL1,NEAL2,NEAL3,Q4a,Q4b,Q4c,Q4d,mcan0,mcan1,mcan2,mcan_treatment,mcan3a,mcan4a,mcan3b,mcan4b,mcancovid,inputstate,region,CD1,CD2,CD3,CD5a,CD4_1,CD4_2,CD4_3,CD4_4,CD4_5,CD4_6,CD6,CD6_t,CD7,partyid,ideology,CD8,CD8_t,CD10,CD11,CD15,CD15_t,inc,X1,X1_t,child18,presvote16post,presvote20post,inputzip,votereg,newsint,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1942134633,1.418279476,1.157761737,.9167047505104789,.9167047505104789,0.914352263,0.926217032,0.661410637,0.657585583,0.71286588,Worse off,Worse off,Good,Go up,Worse than,Bad times,Inflation,Poor,Poor,Very likely,Tudor Dixon,not asked,Matthew DePerno,not asked,Kristina Karamo,not asked,Very liberal,Very liberal,Somewhat conservative,Oppose,not asked,Illegal in all circumstances,Pro-life,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Almost never,Almost never,Some of the time,In person voting with ID.,Approve,"No, not treated less fairly","No, not treated less fairly","No, not treated less fairly","No, not treated less fairly","No, not treated less fairly",My children were treated differently in college admissions because of their race.,No,No,Yes,Wayne County,No,Grosse Pointe Woods,No,No,No,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,No,Somewhat unimportant,Strongly disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1959,Graduate degree,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"Catholic; Roman Catholic, Orthodox",__NA__,Independent,Lean Republican,Somewhat conservative,Married or Remarried,__NA__,4,0,Work full-time,__NA__,"$150,000 or More",A suburb,__NA__,No,Donald Trump,Donald Trump,48236,Yes,Most of the time,A few times a year,No,Very important,Several times a day,2-Sep-22,2-Sep-22
1941919739,1.61465316,1.043730818,1.457024844,1.457024844,1.453285764,1.396441352,1.09286731,1.086547065,1.128783659,Worse off,Worse off,Not so good,Go up,Worse than,Bad times,economy,Poor,Poor,Very likely,I don't know,I don't know,I don’t know,I don’t know,I don’t know,I don’t know,Moderate but closer to the conservative side,Very liberal,Somewhat conservative,Support,not asked,Legal only under certain circumstances,Pro-life,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Almost never,Almost never,Almost never,economy,Approve,"Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly", ,No,Yes,Yes,Kalamazoo County,not asked,kalamazoo,Yes,not asked,not asked,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,No,Somewhat important,Strongly disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1968,1st year college,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"Protestant (Baptist, Methodist, Lutheran, Episcopalian, etc.)",__NA__,Independent,Neither,Somewhat conservative,Married or Remarried,__NA__,2,0,Work full-time,__NA__,"$20,000 to $29,999",Urban community,__NA__,No,Donald Trump,Donald Trump,49006,Yes,Only now and then,Once or twice a month,Yes,Very important,A few times a week,2-Sep-22,2-Sep-22
1942136959,0.526396971,1.157761737,0.812628905,0.812628905,0.810543502,0.821061232,0.632446837,.6287892851832509,0.681648805,About the same,About the same,Good,Go down,About the same,Neither good nor bad/Stay the same,Healthcare availability,Good,Excellent,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Moderate but closer to the liberal side,Moderate but closer to the liberal side,Very conservative,Support,not asked,I don’t know,I don’t know,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Some of the time,Some of the time,Some of the time,Greater funding for public education,I don’t know,"Yes, treated less fairly",I don’t know,I don’t know,I don’t know,I don’t know,I believe that I am able to enjoy the freedom from fear and freedom that we all think should be available to everyone. I enjoy those freedoms because I am white. I do not think everyone has my experience.,not asked,not asked,No,Wayne County,No,Redford Township,Yes,not asked,not asked,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,Somewhat important,Strongly disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Female,1962,2nd year college,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"Protestant (Baptist, Methodist, Lutheran, Episcopalian, etc.)",__NA__,Democrat,Not a very strong Democrat,Closer to the liberal side,Married or Remarried,__NA__,3,0,Other,graduate school part-time,"$80,000 to $89,999",A suburb,__NA__,No,Other,Joe Biden,48239,Yes,Most of the time,Once a week,Yes,Very important,Several times a day,2-Sep-22,2-Sep-22
1942134611,0.63569442,1.157761737,0.602516142,0.602516142,0.600969939,0.608768212,0.468921824,0.466209966,0.505402165,About the same,About the same,Good,Go down,Better than,Good times,electric power system,Excellent,Excellent,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,In the middle,Moderate but closer to the liberal side,Very conservative,Support,not asked,Legal under any circumstances,Pro-choice,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Nearly always or most of the time,Some of the time,Some of the time,GUN ISSUES,Disapprove,"No, not treated less fairly","Yes, treated less fairly",I don’t know,"Yes, treated less fairly",I don’t know,Better,not asked,Yes,Yes,Oakland County,not asked,Highland,No,No,Don't know,Disagree,Neither agree nor disagree,Agree,Strongly agree,No,Very important,Strongly disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1946,1st year college,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,Other,none,Democrat,Strong Democrat,Somewhat liberal,Divorced,__NA__,6,2,Retired,__NA__,"$100,000 to $149,999",Rural community,__NA__,No,Did not vote for President,Joe Biden,48357,Yes,Most of the time,Never,No,Not at all important,Never,2-Sep-22,2-Sep-22
1942050277,0.799442192,1.043730818,0.826416151,0.826416151,0.824295367,0.792053542,0.619868082,0.616283276,0.64023963,Better off,Better off,Good,Stay about the same,Better than,Good times,Right wing extremism,Excellent,Excellent,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Somewhat liberal,Somewhat liberal,Very conservative,Support,not asked,Legal only under certain circumstances,Pro-choice,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Some of the time,Some of the time,Seldom,Abortion rights,Disapprove,"Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly","No, not treated less fairly",skipped,I'm white sooooo.,not asked,No,No,Ingham County,not asked,Mason,Yes,not asked,not asked,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,Somewhat unimportant,Strongly disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1958,Technical/junior college graduate,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Democrat,Strong Democrat,Very liberal,Married or Remarried,__NA__,2,0,Retired,__NA__,"$40,000 to $49,999",Rural community,__NA__,No,Hillary Clinton,Joe Biden,48854,Yes,Most of the time,Never,No,Not at all important,Never,2-Sep-22,2-Sep-22
1941969831,.9728973391036571,1.157761737,.9167047505104789,.9167047505104789,0.914352263,0.926217032,0.661410637,0.657585583,0.71286588,Better off,Worse off,Just fair,Go down,About the same,Neither good nor bad/Stay the same,Climate Change,Good,Good,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Moderate but closer to the liberal side,Very liberal,Very conservative,Oppose,not asked,Legal only under certain circumstances,Pro-life,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Some of the time,Some of the time,Some of the time,Money in politics,Approve,"Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly",None,not asked,No,No,Macomb County,not asked,Clinton Township,Yes,not asked,not asked,Agree,Neither agree nor disagree,Agree,Agree,No,Very important,Somewhat disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1958,Graduate degree,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"Catholic; Roman Catholic, Orthodox",__NA__,Independent,Neither,In the middle,Married or Remarried,__NA__,3,0,Disabled,__NA__,"$60,000 to $69,999",A suburb,__NA__,No,Hillary Clinton,Joe Biden,48038,Yes,Most of the time,Once a week,No,Very important,Several times a day,2-Sep-22,2-Sep-22
1942137189,0.669299072,0.933840689,0.739406191,0.739406191,0.737508695,0.760758155,0.725712569,0.721515645,0.639076415,About the same,About the same,Good,Go down,About the same,Neither good nor bad/Stay the same,politicians who lie,Good,Good,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Moderate but closer to the liberal side,Moderate but closer to the liberal side,Very conservative,Support,not asked,Legal under any circumstances,Pro-choice,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Some of the time,Some of the time,Some of the time,voting rights,Disapprove,I don’t know,"No, not treated less fairly",I don’t know,"No, not treated less fairly","No, not treated less fairly",I am not treated differently because of my race,not asked,Yes,not asked,Tuscola County,not asked,Cass City,No,No,Don't know,Disagree,Strongly disagree,Strongly disagree,Disagree,No,Somewhat important,Strongly disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1957,2nd year college,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"Catholic; Roman Catholic, Orthodox",__NA__,Democrat,Strong Democrat,Very liberal,"Single, never been married",__NA__,1,0,Retired,__NA__,"$20,000 to $29,999","Small city or town, village",__NA__,No,Hillary Clinton,Joe Biden,48726,Yes,Most of the time,Seldom,No,Somewhat important,Seldom,2-Sep-22,2-Sep-22
1942138219,1.128476134,1.157761737,0.817153115,0.817153115,0.815056102,0.825632388,1.044141594,1.038103139,1.125371855,Worse off,About the same,Just fair,Go up,About the same,Neither good nor bad/Stay the same, ,Poor,Poor,Very likely,Tudor Dixon,not asked,Matthew DePerno,not asked,Jocelyn Benson,not asked,Don’t know,Don’t know,Don’t know,Support,not asked,Legal only under certain circumstances,I don’t know,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Seldom,Seldom,Seldom, ,I don’t know,I don’t know,I don’t know,I don’t know,I don’t know,I don’t know, ,not asked,Yes,not asked,Lenawee County,not asked,Adrian,Yes,not asked,not asked,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,No,Somewhat important,Somewhat disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Female,1947,High school graduate or GED holder,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"Protestant (Baptist, Methodist, Lutheran, Episcopalian, etc.)",__NA__,Republican,Not a very strong Republican,Don't know,Divorced,__NA__,1,0,Retired,__NA__,"$40,000 to $49,999",Rural community,__NA__,No,Donald Trump,Donald Trump,49221,Yes,Only now and then,A few times a year,Yes,Very important,Several times a day,2-Sep-22,2-Sep-22
1942137439,0.960546334,1.157761737,0.913383428,0.913383428,0.911039464,.9228612450032611,0.710861325,.7067502882254501,0.766163643,Better off,Better off,Good,Stay about the same,About the same,Good times,Lack of employees,Good,Excellent,Somewhat likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Don’t know,Don’t know,skipped,I don’t know,Support,Legal under any circumstances,Pro-choice,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Some of the time,Nearly always or most of the time,Nearly always or most of the time, ,Disapprove,I don’t know,"No, not treated less fairly",I don’t know,"Yes, treated less fairly","Yes, treated less fairly", ,No,No,not asked,Oakland County,not asked,Novi,No,No,Don't know,Disagree,Neither agree nor disagree,Agree,Disagree,No,Somewhat important,Somewhat agree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Female,1972,2nd year college,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Democrat,Not a very strong Democrat,Don't know,Divorced,__NA__,1,0,Work full-time,__NA__,"$20,000 to $29,999",A suburb,__NA__,No,Did not vote for President,Joe Biden,48375,Yes,Hardly at all,Never,No,Not at all important,Seldom,2-Sep-22,2-Sep-22
1942138945,0.886529903,1.157761737,1.439916752,1.439916752,1.436221576,1.454858197,.9903275071626449,0.984600268,1.067371236,About the same,About the same,Just fair,Go down,Better than,Good times,Violence in schools,Excellent,Excellent,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Somewhat liberal,Somewhat liberal,Very conservative,Support,not asked,Legal only under certain circumstances,Pro-life,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Some of the time,Nearly always or most of the time,Nearly always or most of the time,Voting rights,Disapprove,I don’t know,I don’t know,I don’t know,I don’t know,I don’t know,I don't think I am.,not asked,Yes,No,Genesee County,not asked,Grand Blanc,Yes,not asked,not asked,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Yes,Very important,Strongly disagree,Treatment Group 1 (mcan3/4a),6,Very likely,not asked,not asked,Not at all,Michigan,Midwest,Male,1985,College graduate (four years),"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"Catholic; Roman Catholic, Orthodox",__NA__,Democrat,Strong Democrat,Somewhat liberal,Married or Remarried,__NA__,2,2,Homemaker,__NA__,"$70,000 to $79,999",A suburb,__NA__,Yes,Hillary Clinton,Joe Biden,48439,Yes,Most of the time,Once or twice a month,No,Very important,Never,2-Sep-22,2-Sep-22
